summary_level,soc_code,title,employment_2013,employment_2015,change_net,change_percent,annual_avg_openings_total,annual_avg_openings_growth,annual_avg_openings_replacement,annual_wages_2013_mean,annual_wages_2013_median,annual_wages_2013_entry,annual_wages_2013_experienced,typical_entry_education,work_experience,training_needed
4,39-5012,"Hairdressers, Hairstylists, and Cosmetologists",13860,14300,440,0.031746032,540,220,320,35240,24540,19610,43060,Postsecondary non-degree award,None,None
4,39-5092,Manicurists and Pedicurists,8430,8870,440,0.052194543,270,220,50,19050,18380,16880,20130,Postsecondary non-degree award,None,None
4,39-5093,Shampooers,1420,1430,10,0.007042254,20,10,10,18350,18320,16910,19060,Less than high school,None,Short-term on-the-job training
4,39-5094,Skincare Specialists,1460,1600,140,0.095890411,80,70,10,37420,33280,23210,44520,Postsecondary non-degree award,None,None
3,39-6000,"Baggage Porters, Bellhops, and Concierges",6960,7280,320,0.045977011,320,160,160,n/a,n/a,n/a,n/a, , , 
4,39-6011,Baggage Porters and Bellhops,3620,3790,170,0.046961326,170,80,90,30700,28620,21390,35360,High school diploma or equivalent,None,Short-term on-the-job training
4,39-6012,Concierges,3340,3500,160,0.047904192,160,80,80,42760,43450,35600,46340,High school diploma or equivalent,None,Moderate-term on-the-job training
3,39-7000,Tour and Travel Guides,1470,1500,30,0.020408163,90,10,80,n/a,n/a,n/a,n/a, , , 
3,39-9000,Other Personal Care and Service Workers,162410,171320,8910,0.054861154,6890,4460,2430,n/a,n/a,n/a,n/a, , , 
4,39-9011,Childcare Workers,52600,54000,1400,0.02661597,2290,700,1590,26150,26710,19360,29550,High school diploma or equivalent,None,Short-term on-the-job training
4,39-9021,Personal Care Aides,84540,91130,6590,0.077951266,3750,3290,460,22310,21970,19060,23940,Less than high school,None,Short-term on-the-job training
4,39-9031,Fitness Trainers and Aerobics Instructors,8560,9070,510,0.059579439,350,250,100,67500,67570,33320,84590,High school diploma or equivalent,None,Short-term on-the-job training
4,39-9032,Recreation Workers,12300,12620,320,0.02601626,300,160,140,32170,30770,19180,38670,Bachelor's degree,None,None
4,39-9041,Residential Advisors,1420,1440,20,0.014084507,70,10,60,29660,28380,22300,33350,High school diploma or equivalent,None,Short-term on-the-job training
4,39-9099,"Personal Care and Service Workers, All Other",3000,3080,80,0.026666667,120,40,80,32020,31060,18600,38730,High school diploma or equivalent,None,Short-term on-the-job training
2,41-0000,Sales and Related Occupations,435310,446080,10770,0.024740989,19430,5740,13690,62660,36310,18560,84710, , , 
3,41-1000,Supervisors of Sales Workers,41180,42260,1080,0.026226323,1300,540,760,n/a,n/a,n/a,n/a, , , 
4,41-1011,First-Line Supervisors of Retail Sales Workers,27630,28540,910,0.032935215,1050,460,590,47790,43640,27590,57890,High school diploma or equivalent,Less than 5 years,None
