state,city,pd,all_people_killed_by_police_2013-2017,black_people_killed_by_police_2013-2017,total,black,white,amer_indian,asian,hawaiian,asian/pacific_islander,other,two_or_more_races,hispanic,population,black-white_dissimilarity_index_2010,violent_crime,murder_and_nonnegligent_manslaughter,violent_crime_rate,murder_rate,total_police_homicide_rate,total_police_homicide_rate_for_black_people
Arizona,Glendale,Glendale Police Department,7,2,"226,721","12,766","116,866","2,707","8,618",355,8973,329,"4,579","80,501","234,006",39.14,905,13,3.9,5.6,6.9,34.8
North Carolina,Greensboro,Greensboro Police Department,4,2,"269,666","108,233","122,888","1,096","10,711",128,10839,703,"5,571","20,336","282,203",56.62,"1,346",23,4.8,8.2,3.3,4.1
Nevada,Henderson,Henderson Police Department,4,0,"257,729","12,471","177,039","1,182","18,172","1,354",19526,479,"8,655","38,377","274,121",20.75,452,3,1.6,1.1,3.4,0
Florida,Hialeah,Hialeah Police Department,3,1,"224,669","6,066","9,511",73,697,2,699,119,253,"69,599","235,446",41.5,782,6,3.3,2.5,3,36.6
Hawaii,Honolulu,Honolulu Police Department,10,0,"337,256","4,642","55,762",517,"182,792","27,346",210138,512,"47,384","18,301","337,256",30.28,"2,605",16,7.7,4.7,6.6,0
Texas,Houston,Houston Police Department,48,28,"2,099,451","485,956","537,901","3,528","124,859",711,125570,"4,128","22,700","919,668","2,219,933",68.57,"22,008",242,9.9,10.9,5.1,12.8
Indiana,Indianapolis,Indianapolis Metropolitan Police Department,25,14,"820,445","223,053","480,960","1,760","17,053",274,17327,"2,123","17,870","77,352","858,238",55.87,"10,768",136,12.5,15.8,6.8,13.9
California,Irvine,Irvine Police Department,0,0,"212,375","3,494","95,822",199,"82,722",295,83017,554,"9,668","19,621","242,971",18.75,120,0,0.5,0,0,0
Texas,Irving,Irving Police Department,6,2,"216,290","25,550","66,559",807,"30,161",221,30382,434,"3,591","88,967","231,708",36.65,512,5,2.2,2.2,6.2,17.4
Florida,Jacksonville,Jacksonville Sheriff's Office,27,16,"821,784","247,516","452,525","2,687","34,731",668,35399,"1,949","18,223","63,485","856,021",47.54,"5,853",96,6.8,11.2,7.3,14.4
New Jersey,Jersey City,Jersey City Police Department,4,3,"247,597","59,060","53,236",586,"58,106",95,58201,"2,423","5,835","68,256","260,005",58.69,"1,381",24,5.3,9.2,3.6,11.3
Missouri,Kansas City Missouri,Kansas City Police Department,17,10,"459,787","135,916","252,257","1,823","11,275",787,12062,709,"11,067","45,953","468,417",62.23,"5,862",78,12.5,16.7,8.2,16.3
Texas,Laredo,Laredo Police Department,6,0,"236,091",478,"8,086",87,"1,313",11,1324,121,245,"225,750","250,994",29.02,976,14,3.9,5.6,5.6,0
Nevada,Las Vegas,Las Vegas Metropolitan Police Department,36,5,"2,027,868","62,008","279,703","2,391","34,606","3,103",37709,"1,101","16,985","183,859","1,530,899",32.44,"12,876",122,8.4,8,3.9,17.9
Kentucky,Lexington,Lexington Police Department,2,1,"295,803","42,336","216,072",599,"9,506",107,9613,546,"6,163","20,474","311,848",40.93,"1,041",20,3.3,6.4,1.5,5.2
Nebraska,Lincoln,Lincoln Police Department,2,1,"258,379","9,541","214,739","1,611","9,711",128,9839,353,"6,114","16,182","271,208",32.16,918,7,3.4,2.6,1.7,23.3
California,Long Beach,Long Beach Police Department,21,5,"462,257","59,925","135,698","1,349","58,268","4,915",63183,"1,118","12,572","188,412","471,123",57.35,"2,304",23,4.9,4.9,10.1,18.5
California,Los Angeles,Los Angeles Police Department,93,23,"3,792,621","347,380","1,086,908","6,589","420,212","4,300",424512,"12,057","76,353","1,838,822","3,906,772",66.91,"19,171",260,4.9,6.7,5.4,14.7
Kentucky,Louisville,Louisville Metro Police Department,12,6,"597,337","135,138","408,157","1,289","12,764",347,13111,"1,018","11,834","26,790","677,710",55.44,"4,005",56,5.9,8.3,4.5,9.9
Texas,Lubbock,Lubbock Police Department,3,0,"229,573","18,744","127,915",845,"5,471",147,5618,241,"2,585","73,625","241,826",47.23,"2,084",12,8.6,5,2.9,0
Wisconsin,Madison,Madison Police Department,6,2,"233,209","16,507","176,463",763,"17,126",67,17193,374,"5,961","15,948","245,788",36.64,846,7,3.4,2.8,5.7,26.9
Tennessee,Memphis,Memphis Police Department,17,10,"646,889","408,075","177,735","1,186","10,067",159,10226,742,"6,931","41,994","654,922",67.86,"11,399",140,17.4,21.4,5.8,5.4
Arizona,Mesa,Mesa Police Department,12,0,"439,041","14,101","282,505","8,359","8,174","1,532",9706,555,"8,062","115,753","462,092",29.54,"2,119",13,4.6,2.8,6.1,0
Florida,Miami,Miami Police Department,7,2,"399,457","64,993","47,622",361,"3,649",58,3707,676,"2,642","279,456","421,996",75.53,"4,473",81,10.6,19.2,3.9,6.8
Wisconsin,Milwaukee,Milwaukee Police Department,12,11,"594,833","233,325","220,219","3,408","20,553",195,20748,819,"13,307","103,007","600,374",70.11,"8,864",90,14.8,15,4.5,10.5
Minneapolis,Minneapolis,Minneapolis Police Department,5,3,"382,578","69,971","230,650","6,351","21,399",168,21567,962,"13,004","40,073","404,461",50.92,"4,093",31,10.1,7.7,2.9,9.5
Tennessee,Nashville,Metropolitan Nashville Police Department,8,3,"601,222","169,272","338,782","1,418","18,497",275,18772,"1,155","11,433","60,390","647,689",49.16,"7,270",41,11.2,6.3,3,3.9
Louisiana,New Orleans,New Orleans Police Department,9,7,"343,829","204,866","104,770",827,"9,883",105,9988,967,"4,360","18,051","387,113",67.63,"3,770",150,9.7,38.7,5.8,7.6
New York,New York,New York Police Department,65,40,"8,175,133","1,861,295","2,722,904","17,427","1,028,119","2,795",1030914,"57,841","148,676","2,336,076","8,473,938",81.41,"50,564",333,6,3.9,1.8,4.8
New Jersey,Newark,Newark Police Department,8,5,"277,140","138,074","32,122",713,"4,318",68,4386,"3,899","4,200","93,746","279,110",71.19,"3,008",93,10.8,33.3,6.4,8
Virginia,Norfolk,Norfolk Police Department,10,6,"242,803","102,452","107,463",935,"7,861",359,8220,471,"7,118","16,144","247,078",50.8,"1,280",31,5.2,12.5,9.2,13
Nevada,North Las Vegas,North Las Vegas Police Department,5,2,"216,961","41,561","67,687",871,"13,122","1,684",14806,377,"7,525","84,134","229,436",27.1,"1,782",12,7.8,5.2,5.1,10.7
California,Oakland,Oakland Police Department,9,6,"390,724","106,637","101,308","1,214","65,127","2,081",67208,"1,213","14,076","99,068","409,994",51.89,"6,910",80,16.9,19.5,5.1,12.5
Oklahoma,Oklahoma City,Oklahoma City Police Department,35,16,"579,999","85,744","328,582","18,208","23,051",464,23515,700,"23,212","100,038","617,975",46.73,"4,782",45,7.7,7.3,13.4,41.5
Nebraska,Omaha,Omaha Police Department,15,4,"408,958","55,128","278,172","2,263","9,889",253,10142,806,"8,894","53,553","438,465",58.03,"2,458",32,5.6,7.3,8.2,16.1
Florida,Orlando,Orlando Police Department,15,7,"238,300","63,584","98,533",483,"8,756",130,8886,"1,688","4,643","60,483","259,675",60.99,"2,340",15,9,5.8,14,24.5
Pennsylvania,Philadelphia,Philadelphia Police Department,27,14,"1,526,006","644,287","562,585","3,498","95,521",457,95978,"4,105","27,942","187,611","1,559,062",73.35,"15,925",248,10.2,15.9,3.9,4.8
Arizona,Phoenix,Phoenix Police Department,70,8,"1,445,632","86,788","672,573","23,327","43,894","2,055",45949,"2,242","24,876","589,877","1,529,852",49.89,"8,749",114,5.7,7.5,10.8,20.5
Pennsylvania,Pittsburgh,Pittsburgh Police Department,5,4,"305,704","78,847","198,186",505,"13,393",76,13469,843,"6,890","6,964","307,613",56.55,"2,455",69,8,22.4,3.6,11.3
Texas,Plano,Plano Police Department,1,0,"259,841","19,199","151,629",831,"43,659",121,43780,449,"5,779","38,174","277,822",26.4,459,4,1.7,1.4,0.9,0
Oregon,Portland,Portland Police Bureau,10,2,"583,776","35,462","421,773","4,381","41,335","2,978",44313,"1,299","21,708","54,840","615,672",38.64,"2,911",26,4.7,4.2,3.8,12.5
North Carolina,Raleigh,Raleigh Police Department,4,3,"403,892","115,976","215,204","1,019","17,309",139,17448,828,"7,549","45,868","428,993",50.26,"1,683",12,3.9,2.8,2.2,5.7
Nevada,Reno,Reno Police Department,10,3,"225,221","5,990","140,752","2,066","13,913","1,505",15418,441,"5,914","54,640","235,055",32.08,"1,147",15,4.9,6.4,9.9,111.3
California,Riverside,Riverside Police Department,6,2,"303,871","19,917","103,398","1,297","21,934","1,019",22953,617,"6,736","148,953","319,453",25.41,"1,384",12,4.3,3.8,4.4,22.3
New York,Rochester,Rochester Police Department,3,2,"210,565","83,346","79,178",666,"6,350",77,6427,392,"6,100","34,456","210,347",51.59,"1,765",27,8.4,12.8,3.2,5.3
California,Sacramento,Sacramento Police Department,9,2,"466,488","64,967","161,062","2,586","83,841","6,392",90233,"1,253","21,111","125,276","482,767",40.57,"2,968",28,6.1,5.8,4.3,6.8
Texas,San Antonio,San Antonio Police Department,31,7,"1,327,407","83,365","353,106","2,771","30,596","1,097",31693,"2,105","15,415","838,952","1,428,465",43.08,"7,704",103,5.4,7.2,5.2,18.7
California,San Bernardino,San Bernardino Police Department,9,0,"209,924","29,897","39,977",867,"8,027",704,8731,361,"4,097","125,994","214,588",33.1,"2,128",43,9.9,20,9.5,0
