state,city,police_department,police_killings_2013,police_killings_2014,police_killings_2015,police_killings_2016,black_people_killed_by_police_2016,total_killings_2013-16,black_people_killed_by_police_2013-2016,unarmed_killings,percent_unarmed,police_killings_2013_rate,police_killings_2014_rate,police_killings_2015_rate,police_killings_2016_rate,avg_rate,total,black,white,amer_indian,asian,hawaiian,asian/pacific_islander,other,two_or_more_races,hispanic,population,violent_crime,murder_and_nonnegligent_manslaughter,violent_crime_rate,murder_rate,total_police_homicide_rate_average_annual_rate,total_police_homicide_rate_for_black_people_average_annual_rate,black-white_dissimilarity_2010,percent_of_killings_black_2016,number_of_restrictive_use_of_force_policies_as_of_2016
Hawaii,Honolulu,Honolulu Police Department,3,3,1,1,0,8,0,2,25%,8.90,8.90,2.97,2.97,5.93,"337,256","4,642","55,762",517,"182,792","27,346",210138,512,"47,384","18,301","337,256","2,605",16,7.7,4.7,5.9,0.0,30.28,0,3
Texas,Houston,Houston Police Department,9,13,14,9,5,45,25,7,16%,4.29,6.19,6.67,4.29,5.36,"2,099,451","485,956","537,901","3,528","124,859",711,125570,"4,128","22,700","919,668","2,219,933","22,008",242,9.9,10.9,5.4,12.9,68.57,55.55555556,1
Indiana,Indianapolis,Indianapolis Metropolitan Police Department,7,5,9,3,3,24,13,5,21%,8.53,6.09,10.97,3.66,7.31,"820,445","223,053","480,960","1,760","17,053",274,17327,"2,123","17,870","77,352","858,238","10,768",136,12.5,15.8,7.3,14.6,55.87,100,1
Florida,Jacksonville,Jacksonville Sheriff's Office,7,7,6,4,2,24,14,7,29%,8.52,8.52,7.30,4.87,7.30,"821,784","247,516","452,525","2,687","34,731",668,35399,"1,949","18,223","63,485","856,021","5,853",96,6.8,11.2,7.3,14.1,47.54,50,3
Missouri,Kansas City Missouri,Kansas City Police Department,5,5,3,2,2,15,8,2,13%,10.87,10.87,6.52,4.35,8.16,"459,787","135,916","252,257","1,823","11,275",787,12062,709,"11,067","45,953","468,417","5,862",78,12.5,16.7,8.2,14.7,62.23,100,0
Nevada,Las Vegas,Las Vegas Metropolitan Police Department,6,9,11,4,1,30,3,6,20%,2.96,4.44,5.42,1.97,3.70,"2,027,868","62,008","279,703","2,391","34,606","3,103",37709,"1,101","16,985","183,859","1,530,899","12,876",122,8.4,8.0,3.7,12.1,32.44,25,4
California,Long Beach,Long Beach Police Department,6,3,5,3,1,17,5,4,24%,12.98,6.49,10.82,6.49,9.19,"462,257","59,925","135,698","1,349","58,268","4,915",63183,"1,118","12,572","188,412","471,123","2,304",23,4.9,4.9,9.2,20.9,57.35,33.33333333,
California,Los Angeles,Los Angeles Police Department,18,23,24,19,5,84,21,12,14%,4.75,6.06,6.33,5.01,5.54,"3,792,621","347,380","1,086,908","6,589","420,212","4,300",424512,"12,057","76,353","1,838,822","3,906,772","19,171",260,4.9,6.7,5.5,15.1,66.91,26.31578947,3
Kentucky,Louisville,Louisville Metro Police Department,2,5,2,1,1,10,6,0,0%,3.35,8.37,3.35,1.67,4.19,"597,337","135,138","408,157","1,289","12,764",347,13111,"1,018","11,834","26,790","677,710","4,005",56,5.9,8.3,4.2,11.1,55.44,100,5
Tennessee,Memphis,Memphis Police Department,10,1,3,3,2,17,10,2,12%,15.46,1.55,4.64,4.64,6.57,"646,889","408,075","177,735","1,186","10,067",159,10226,742,"6,931","41,994","654,922","11,399",140,17.4,21.4,6.6,6.1,67.86,66.66666667,
Arizona,Mesa,Mesa Police Department,4,0,4,4,0,12,0,2,17%,9.11,0.00,9.11,9.11,6.83,"439,041","14,101","282,505","8,359","8,174","1,532",9706,555,"8,062","115,753","462,092","2,119",13,4.6,2.8,6.8,0.0,29.54,0,2
Florida,Miami,Miami Police Department,1,1,3,1,0,6,2,1,17%,2.50,2.50,7.51,2.50,3.76,"399,457","64,993","47,622",361,"3,649",58,3707,676,"2,642","279,456","421,996","4,473",81,10.6,19.2,3.8,7.7,75.53,0,6
Wisconsin,Milwaukee,Milwaukee Police Department,4,2,2,3,3,11,10,0,0%,6.72,3.36,3.36,5.04,4.62,"594,833","233,325","220,219","3,408","20,553",195,20748,819,"13,307","103,007","600,374","8,864",90,14.8,15.0,4.6,10.7,70.11,100,3
Minneapolis,Minneapolis,Minneapolis Police Department,2,0,1,2,1,5,3,1,20%,5.23,0.00,2.61,5.23,3.27,"382,578","69,971","230,650","6,351","21,399",168,21567,962,"13,004","40,073","404,461","4,093",31,10.1,7.7,3.3,10.7,50.92,50,4
Tennessee,Nashville,Metropolitan Nashville Police Department,0,3,4,1,0,8,3,1,13%,0.00,4.99,6.65,1.66,3.33,"601,222","169,272","338,782","1,418","18,497",275,18772,"1,155","11,433","60,390","647,689","7,270",41,11.2,6.3,3.3,4.4,49.16,0,3
Louisiana,New Orleans,New Orleans Police Department,0,3,4,1,0,8,5,0,0%,0.00,8.73,11.63,2.91,5.82,"343,829","204,866","104,770",827,"9,883",105,9988,967,"4,360","18,051","387,113","3,770",150,9.7,38.7,5.8,6.1,67.63,0,5
New York,New York,New York Police Department,21,16,11,12,7,60,37,20,33%,2.57,1.96,1.35,1.47,1.83,"8,175,133","1,861,295","2,722,904","17,427","1,028,119","2,795",1030914,"57,841","148,676","2,336,076","8,473,938","50,564",333,6.0,3.9,1.8,5.0,81.41,58.33333333,4
California,Oakland,Oakland Police Department,2,1,5,0,0,8,6,3,38%,5.12,2.56,12.80,0.00,5.12,"390,724","106,637","101,308","1,214","65,127","2,081",67208,"1,213","14,076","99,068","409,994","6,910",80,16.9,19.5,5.1,14.1,51.89,#DIV/0!,4
Oklahoma,Oklahoma City,Oklahoma City Police Department,9,10,8,6,3,33,15,4,12%,15.52,17.24,13.79,10.34,14.22,"579,999","85,744","328,582","18,208","23,051",464,23515,700,"23,212","100,038","617,975","4,782",45,7.7,7.3,14.2,43.7,46.73,50,2
Nebraska,Omaha,Omaha Police Department,3,3,4,3,1,13,4,2,15%,7.34,7.34,9.78,7.34,7.95,"408,958","55,128","278,172","2,263","9,889",253,10142,806,"8,894","53,553","438,465","2,458",32,5.6,7.3,7.9,18.1,58.03,33.33333333,2
Pennsylvania,Philadelphia,Philadelphia Police Department,12,4,2,5,4,23,12,1,4%,7.86,2.62,1.31,3.28,3.77,"1,526,006","644,287","562,585","3,498","95,521",457,95978,"4,105","27,942","187,611","1,559,062","15,925",248,10.2,15.9,3.8,4.7,73.35,80,7
Arizona,Phoenix,Phoenix Police Department,18,16,8,19,2,61,6,8,13%,12.45,11.07,5.53,13.14,10.55,"1,445,632","86,788","672,573","23,327","43,894","2,055",45949,"2,242","24,876","589,877","1,529,852","8,749",114,5.7,7.5,10.5,17.3,49.89,10.52631579,3
Oregon,Portland,Portland Police Bureau,2,2,3,1,0,8,0,1,13%,3.43,3.43,5.14,1.71,3.43,"583,776","35,462","421,773","4,381","41,335","2,978",44313,"1,299","21,708","54,840","615,672","2,911",26,4.7,4.2,3.4,0.0,38.64,0,2
