summary_level,soc_code,title,employment_2013,employment_2015,change_net,change_percent,annual_avg_openings_total,annual_avg_openings_growth,annual_avg_openings_replacement,annual_wages_2013_mean,annual_wages_2013_median,annual_wages_2013_entry,annual_wages_2013_experienced,typical_entry_education,work_experience,training_needed
3,51-2000,Assemblers and Fabricators,5760,5700,-60,-0.010416667,100,10,90,n/a,n/a,n/a,n/a, , , 
4,51-2021,"Coil Winders, Tapers, and Finishers",240,240,0,0,0,0,0,31060,30220,25090,34050,High school diploma or equivalent,None,Short-term on-the-job training
4,51-2022,Electrical and Electronic Equipment Assemblers,1200,1170,-30,-0.025,20,0,20,38870,37040,26820,44900,High school diploma or equivalent,None,Short-term on-the-job training
4,51-2023,Electromechanical Equipment Assemblers,410,380,-30,-0.073170732,10,0,10,33310,30950,23810,38050,High school diploma or equivalent,None,Short-term on-the-job training
4,51-2041,Structural Metal Fabricators and Fitters,140,140,0,0,10,0,10,39920,34480,25740,47020,High school diploma or equivalent,None,Moderate-term on-the-job training
4,51-2092,Team Assemblers,3110,3110,0,0,50,0,50,26720,22920,17940,31110,High school diploma or equivalent,None,Moderate-term on-the-job training
4,51-2099,"Assemblers and Fabricators, All Other",600,630,30,0.05,20,10,10,23060,20980,17210,25980,High school diploma or equivalent,None,Moderate-term on-the-job training
3,51-3000,Food Processing Workers,3480,3740,260,0.074712644,220,130,90,n/a,n/a,n/a,n/a, , , 
4,51-3011,Bakers,980,1050,70,0.071428571,50,30,20,28310,26620,17490,33730,Less than high school,None,Long-term on-the-job training
4,51-3021,Butchers and Meat Cutters,940,1000,60,0.063829787,50,30,20,43830,45320,30050,50720,Less than high school,None,Long-term on-the-job training
4,51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",590,650,60,0.101694915,40,30,10,27330,27360,17420,32280,Less than high school,None,Short-term on-the-job training
4,51-3092,Food Batchmakers,670,730,60,0.089552239,50,30,20,32900,29210,20220,39240,High school diploma or equivalent,None,Moderate-term on-the-job training
4,51-3093,Food Cooking Machine Operators and Tenders,130,150,20,0.153846154,10,10,0,26110,26460,19250,29540,High school diploma or equivalent,None,Moderate-term on-the-job training
3,51-4000,Metal Workers and Plastic Workers,4260,4240,-20,-0.004694836,100,20,80,n/a,n/a,n/a,n/a, , , 
4,51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",220,220,0,0,10,0,10,33730,30440,25900,37650,High school diploma or equivalent,None,Moderate-term on-the-job training
4,51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",260,250,-10,-0.038461538,10,0,10,27400,25720,16950,32630,High school diploma or equivalent,None,Moderate-term on-the-job training
4,51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",240,230,-10,-0.041666667,0,0,0,43430,45050,31450,49420,High school diploma or equivalent,None,Moderate-term on-the-job training
4,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",470,460,-10,-0.021276596,0,0,0,30850,28900,19760,36400,High school diploma or equivalent,None,Moderate-term on-the-job training
4,51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",230,220,-10,-0.043478261,10,0,10,31780,28830,22370,36490,High school diploma or equivalent,None,Moderate-term on-the-job training
4,51-4041,Machinists,1170,1190,20,0.017094017,40,10,30,35430,33700,19040,43620,High school diploma or equivalent,None,Long-term on-the-job training
4,51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",160,160,0,0,0,0,0,35350,30390,24350,40850,High school diploma or equivalent,None,Moderate-term on-the-job training
4,51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",150,140,-10,-0.066666667,0,0,0,28960,19900,17110,34890,High school diploma or equivalent,None,Moderate-term on-the-job training
4,51-4111,Tool and Die Makers,140,140,0,0,0,0,0,53950,55000,35670,63090,High school diploma or equivalent,None,Long-term on-the-job training
4,51-4121,"Welders, Cutters, Solderers, and Brazers",650,660,10,0.015384615,20,0,20,46220,44960,30390,54140,High school diploma or equivalent,None,Moderate-term on-the-job training
4,51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",140,140,0,0,0,0,0,35940,33330,26870,40480,High school diploma or equivalent,None,Moderate-term on-the-job training
3,51-5100,Printing Workers,930,840,-90,-0.096774194,20,0,20,n/a,n/a,n/a,n/a, , , 
4,51-5111,Prepress Technicians and Workers,130,110,-20,-0.153846154,0,0,0,34150,31460,19870,41290,Postsecondary non-degree award,None,None
4,51-5112,Printing Press Operators,730,660,-70,-0.095890411,10,0,10,37720,39620,26350,43410,High school diploma or equivalent,None,Moderate-term on-the-job training
3,51-6000,"Textile, Apparel, and Furnishings Workers",3480,3520,40,0.011494253,80,20,60,n/a,n/a,n/a,n/a, , , 
4,51-6011,Laundry and Dry-Cleaning Workers,1210,1220,10,0.008264463,50,10,40,26040,23400,18130,29990,Less than high school,None,Short-term on-the-job training
4,51-6021,"Pressers, Textile, Garment, and Related Materials",520,520,0,0,10,0,10,19890,19050,17180,21250,Less than high school,None,Short-term on-the-job training
4,51-6031,Sewing Machine Operators,920,930,10,0.010869565,10,0,10,24630,22220,17490,28200,Less than high school,None,Short-term on-the-job training
4,51-6093,Upholsterers,130,130,0,0,0,0,0,37800,35660,18540,47430,High school diploma or equivalent,None,Moderate-term on-the-job training
3,51-7000,Woodworkers,860,840,-20,-0.023255814,10,0,10,n/a,n/a,n/a,n/a, , , 
4,51-7011,Cabinetmakers and Bench Carpenters,380,370,-10,-0.026315789,0,0,0,37580,36880,23730,44500,High school diploma or equivalent,None,Moderate-term on-the-job training
4,51-7021,Furniture Finishers,100,100,0,0,0,0,0,34970,33860,24070,40430,High school diploma or equivalent,None,Short-term on-the-job training
4,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",100,100,0,0,0,0,0,28610,26680,21020,32410,High school diploma or equivalent,None,Short-term on-the-job training
4,51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",240,240,0,0,0,0,0,28750,25590,17330,34460,High school diploma or equivalent,None,Short-term on-the-job training
3,51-8000,Plant and System Operators,1430,1440,10,0.006993007,50,10,40,n/a,n/a,n/a,n/a, , , 
4,51-8013,Power Plant Operators,180,180,0,0,10,0,10,61730,63150,37160,74020,High school diploma or equivalent,None,Long-term on-the-job training
4,51-8021,Stationary Engineers and Boiler Operators,350,350,0,0,10,0,10,60650,57890,47490,67230,High school diploma or equivalent,None,Long-term on-the-job training
4,51-8031,Water and Wastewater Treatment Plant and System Operators,770,780,10,0.012987013,20,0,20,56140,58250,38830,64790,High school diploma or equivalent,None,Long-term on-the-job training
3,51-9000,Other Production Occupations,10120,10230,110,0.010869565,320,80,240,n/a,n/a,n/a,n/a, , , 
4,51-9011,Chemical Equipment Operators and Tenders,280,260,-20,-0.071428571,10,0,10,51610,53870,43850,55490,High school diploma or equivalent,None,Moderate-term on-the-job training
4,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",300,320,20,0.066666667,20,10,10,39030,36090,20310,48390,High school diploma or equivalent,None,Moderate-term on-the-job training
4,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",1410,1390,-20,-0.014184397,40,0,40,38970,38740,22210,47340,High school diploma or equivalent,None,Moderate-term on-the-job training
4,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",140,140,0,0,0,0,0,31400,30380,25250,34480,High school diploma or equivalent,None,Short-term on-the-job training
4,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",140,140,0,0,0,0,0,28420,27680,18120,33570,High school diploma or equivalent,None,Moderate-term on-the-job training
4,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",2060,2100,40,0.019417476,60,20,40,40540,37710,22240,49690,High school diploma or equivalent,None,Moderate-term on-the-job training
4,51-9081,Dental Laboratory Technicians,410,420,10,0.024390244,10,0,10,51060,51160,33150,60010,High school diploma or equivalent,None,Moderate-term on-the-job training
4,51-9111,Packaging and Filling Machine Operators and Tenders,1470,1490,20,0.013605442,50,10,40,26310,21590,17160,30880,High school diploma or equivalent,None,Moderate-term on-the-job training
4,51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",140,140,0,0,0,0,0,32850,33140,22350,38100,High school diploma or equivalent,None,Moderate-term on-the-job training
4,51-9122,"Painters, Transportation Equipment",120,120,0,0,0,0,0,61080,45780,37370,72930,High school diploma or equivalent,None,Moderate-term on-the-job training
4,51-9151,Photographic Process Workers and Processing Machine Operators,370,370,0,0,10,0,10,21570,20820,16860,23920,High school diploma or equivalent,None,Short-term on-the-job training
4,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",150,150,0,0,0,0,0,28560,27830,18300,33700,High school diploma or equivalent,None,Long-term on-the-job training
4,51-9196,"Paper Goods Machine Setters, Operators, and Tenders",780,800,20,0.025641026,20,10,10,28440,27220,19930,32700,High school diploma or equivalent,None,Moderate-term on-the-job training
4,51-9198,Helpers--Production Workers,710,720,10,0.014084507,20,10,10,23680,22140,16930,27050,Less than high school,None,Short-term on-the-job training
4,51-9199,"Production Workers, All Other",390,400,10,0.025641026,20,10,10,28400,24520,20530,32330,High school diploma or equivalent,None,Moderate-term on-the-job training
2,53-0000,Transportation and Material Moving Occupations,52200,53200,1000,0.019157088,1630,510,1120,36470,32980,20730,44350, , , 
3,53-1000,Supervisors of Transportation and Material Moving Workers,2070,2100,30,0.014492754,70,20,50,n/a,n/a,n/a,n/a, , , 
4,53-1021,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",740,760,20,0.027027027,30,10,20,53380,51110,35030,62550,High school diploma or equivalent,Less than 5 years,None
4,53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,1300,1310,10,0.007692308,40,10,30,61050,58580,40900,71130,High school diploma or equivalent,Less than 5 years,None
3,53-2000,Air Transportation Workers,230,230,0,0,10,0,10,n/a,n/a,n/a,n/a, , , 
3,53-3000,Motor Vehicle Operators,28420,28910,490,0.017241379,670,250,420,n/a,n/a,n/a,n/a, , , 
4,53-3021,"Bus Drivers, Transit and Intercity",2140,2180,40,0.018691589,50,20,30,37830,34830,22090,45700,High school diploma or equivalent,None,Moderate-term on-the-job training
4,53-3022,"Bus Drivers, School or Special Client",9380,9530,150,0.015991471,230,80,150,39290,37410,29390,44240,High school diploma or equivalent,None,Short-term on-the-job training
4,53-3031,Driver/Sales Workers,1550,1580,30,0.019354839,30,10,20,34930,32100,19900,42450,High school diploma or equivalent,None,Short-term on-the-job training
4,53-3032,Heavy and Tractor-Trailer Truck Drivers,6100,6270,170,0.027868852,170,80,90,48160,44900,32100,56190,Postsecondary non-degree award,None,Short-term on-the-job training
4,53-3033,Light Truck or Delivery Services Drivers,4590,4630,40,0.008714597,90,20,70,37850,32580,21580,45980,High school diploma or equivalent,None,Short-term on-the-job training
4,53-3041,Taxi Drivers and Chauffeurs,4190,4260,70,0.016706444,70,30,40,35470,34470,21100,42650,Less than high school,None,Short-term on-the-job training
4,53-3099,"Motor Vehicle Operators, All Other",410,410,0,0,10,0,10,34800,32850,19650,42380,High school diploma or equivalent,None,Short-term on-the-job training
3,53-4000,Rail Transportation Workers,410,410,0,0,10,0,10,n/a,n/a,n/a,n/a, , , 
4,53-4011,Locomotive Engineers,120,120,0,0,0,0,0,n/a,n/a,n/a,n/a,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
4,53-4031,Railroad Conductors and Yardmasters,240,240,0,0,10,0,10,n/a,n/a,n/a,n/a,High school diploma or equivalent,None,Moderate-term on-the-job training
3,53-5000,Water Transportation Workers,120,120,0,0,0,0,0,n/a,n/a,n/a,n/a, , , 
3,53-6000,Other Transportation Workers,1500,1530,30,0.02,80,10,70,n/a,n/a,n/a,n/a, , , 
4,53-6021,Parking Lot Attendants,980,990,10,0.010204082,60,10,50,28050,24110,17230,33460,Less than high school,None,Short-term on-the-job training
4,53-6031,Automotive and Watercraft Service Attendants,190,200,10,0.052631579,10,0,10,23900,22570,19630,26040,Less than high school,None,Short-term on-the-job training
4,53-6051,Transportation Inspectors,100,100,0,0,0,0,0,62140,57260,52690,66860,High school diploma or equivalent,None,Moderate-term on-the-job training
4,53-6061,"Transportation Attendants, Except Flight Attendants",160,160,0,0,0,0,0,25900,21730,17010,30350,High school diploma or equivalent,None,Short-term on-the-job training
3,53-7000,Material Moving Workers,19450,19900,450,0.023136247,790,230,560,n/a,n/a,n/a,n/a, , , 
4,53-7021,Crane and Tower Operators,110,120,10,0.090909091,0,0,0,59610,50140,35250,71790,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
4,53-7032,Excavating and Loading Machine and Dragline Operators,240,260,20,0.083333333,10,10,0,72560,79970,41660,88010,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
4,53-7051,Industrial Truck and Tractor Operators,1550,1560,10,0.006451613,40,10,30,32910,30530,22780,37980,Less than high school,None,Short-term on-the-job training
4,53-7061,Cleaners of Vehicles and Equipment,1800,1830,30,0.016666667,80,20,60,25810,22990,17090,30170,Less than high school,None,Short-term on-the-job training
4,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",10460,10710,250,0.023900574,450,120,330,27500,25320,19010,31750,Less than high school,None,Short-term on-the-job training
4,53-7063,Machine Feeders and Offbearers,240,220,-20,-0.083333333,10,0,10,20240,19050,17000,21870,Less than high school,None,Short-term on-the-job training
4,53-7064,"Packers and Packagers, Hand",4020,4150,130,0.032338308,180,70,110,22940,19980,17160,25840,Less than high school,None,Short-term on-the-job training
4,53-7081,Refuse and Recyclable Material Collectors,910,920,10,0.010989011,30,10,20,45940,45620,30070,53870,Less than high school,None,Short-term on-the-job training
