summary_level,soc_code,title,employment_2013,employment_2015,change_net,change_percent,annual_avg_openings_total,annual_avg_openings_growth,annual_avg_openings_replacement,annual_wages_2013_mean,annual_wages_2013_median,annual_wages_2013_entry,annual_wages_2013_experienced,typical_entry_education,work_experience,training_needed
4,41-3021,Insurance Sales Agents,2760,2740,-20,-0.007246377,60,0,60,83770,79500,43200,104060,High school diploma or equivalent,None,Moderate-term on-the-job training
4,41-3031,"Securities, Commodities, and Financial Services Sales Agents",2640,2630,-10,-0.003787879,60,0,60,97560,59790,38810,126940,Bachelor's degree,None,Moderate-term on-the-job training
4,41-3099,"Sales Representatives, Services, All Other",3760,3840,80,0.021276596,140,40,100,74070,66600,33110,94560,High school diploma or equivalent,None,Short-term on-the-job training
3,41-4000,"Sales Representatives, Wholesale and Manufacturing",11470,11400,-70,-0.006102877,220,0,220,n/a,n/a,n/a,n/a, , , 
4,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",1370,1350,-20,-0.01459854,30,0,30,116590,98810,60800,144490,Bachelor's degree,None,Moderate-term on-the-job training
4,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",10110,10050,-60,-0.005934718,200,0,200,80780,64950,37640,102340,High school diploma or equivalent,None,Moderate-term on-the-job training
3,41-9000,Other Sales and Related Workers,6480,6540,60,0.009259259,140,40,100,n/a,n/a,n/a,n/a, , , 
4,41-9011,Demonstrators and Product Promoters,510,530,20,0.039215686,30,10,20,54400,36510,25030,69090,High school diploma or equivalent,None,Short-term on-the-job training
4,41-9022,Real Estate Sales Agents,2430,2470,40,0.016460905,40,20,20,91350,65340,49210,112420,High school diploma or equivalent,None,Long-term on-the-job training
4,41-9031,Sales Engineers,380,370,-10,-0.026315789,10,0,10,87990,86280,63760,100110,Bachelor's degree,None,Moderate-term on-the-job training
4,41-9041,Telemarketers,960,960,0,0,20,0,20,36570,32930,24070,42820,Less than high school,None,Short-term on-the-job training
4,41-9099,"Sales and Related Workers, All Other",560,570,10,0.017857143,20,10,10,32600,26180,18450,39670,High school diploma or equivalent,None,None
2,43-0000,Office and Administrative Support Occupations,158930,160770,1840,0.011577424,4640,1250,3390,38680,35920,22450,46790, , , 
3,43-1000,Supervisors of Office and Administrative Support Workers,11130,11420,290,0.026055705,410,150,260,n/a,n/a,n/a,n/a, , , 
4,43-1011,First-Line Supervisors of Office and Administrative Support Workers,11130,11420,290,0.026055705,410,150,260,61230,58480,41420,71140,High school diploma or equivalent,Less than 5 years,None
3,43-2000,Communications Equipment Operators,860,840,-20,-0.023255814,20,0,20,n/a,n/a,n/a,n/a, , , 
4,43-2011,"Switchboard Operators, Including Answering Service",750,730,-20,-0.026666667,10,0,10,29360,28720,19860,34110,High school diploma or equivalent,None,Short-term on-the-job training
4,43-2021,Telephone Operators,100,100,0,0,0,0,0,40740,40680,28000,47110,High school diploma or equivalent,None,Short-term on-the-job training
3,43-3000,Financial Clerks,24680,25210,530,0.021474878,770,280,490,n/a,n/a,n/a,n/a, , , 
4,43-3011,Bill and Account Collectors,2060,2110,50,0.024271845,90,30,60,43290,39490,29060,50400,High school diploma or equivalent,None,Moderate-term on-the-job training
4,43-3021,Billing and Posting Clerks,3680,3810,130,0.035326087,120,60,60,40510,40070,29600,45960,High school diploma or equivalent,None,Short-term on-the-job training
4,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",12940,13260,320,0.024729521,280,160,120,43050,41640,29390,49870,High school diploma or equivalent,None,Moderate-term on-the-job training
4,43-3051,Payroll and Timekeeping Clerks,1160,1200,40,0.034482759,40,20,20,44940,44530,30380,52220,High school diploma or equivalent,None,Moderate-term on-the-job training
4,43-3061,Procurement Clerks,490,500,10,0.020408163,20,10,10,39610,39410,28030,45400,High school diploma or equivalent,None,Moderate-term on-the-job training
4,43-3071,Tellers,3970,3940,-30,-0.007556675,210,0,210,29010,28400,24060,31490,High school diploma or equivalent,None,Short-term on-the-job training
3,43-4000,Information and Record Clerks,33160,33620,460,0.013872135,1130,250,880,n/a,n/a,n/a,n/a, , , 
4,43-4031,"Court, Municipal, and License Clerks",1100,1110,10,0.009090909,20,0,20,49210,45450,33020,57310,High school diploma or equivalent,None,Moderate-term on-the-job training
